x,y,sai,u,v,Omega,alpha_eh,Xe,Ye,u1,u2
1.6345049289127e-05,-0.000693978094140881,0.0132927118904354,0.000232790397545345,-0.0069256060649232,0.13217597394843,5.48457914354369,-0.0399836549507109,0.0393060219058591,0,-15
0.000251476485166464,-0.00274561196691697,0.0522931833741442,0.00173941713713053,-0.0135811529512931,0.25576817467015,5.44580584417601,-0.0397485235148335,0.037254388033083,0,-15
0.00118659804249694,-0.00599276161636831,0.114587614873159,0.00521074024082107,-0.0193803998555708,0.364286642384001,5.3838008389109,-0.0388134019575031,0.0340072383836317,0,-14.9999999999998
0.00337732757659756,-0.0100257768770884,0.196775875924316,0.0104120704097423,-0.0236129065230815,0.454429731584339,5.30184371850629,-0.0366226724234024,0.0299742231229116,0,-14.9999999999999
0.00718298824349228,-0.0142041267464808,0.295111513090013,0.0163948894526529,-0.0259576724986568,0.525922601800909,5.20355562534681,-0.0328170117565077,0.0257958732535192,0,-15.0000000000001
0.0126184421780805,-0.017835540529181,0.406019817172949,0.022126587544769,-0.0266910403291039,0.580570971310074,5.09242195581825,-0.0673815578219195,0.062164459470819,0,-14.9999999999999
0.0194015941742769,-0.0203697914483437,0.526403494903747,0.0269707795842929,-0.0264185853796319,0.621177561959165,4.97150527820792,-0.0605984058257231,0.0596302085516563,0,-14.9999999999995
0.027102946772112,-0.0214800011865606,0.653753957248067,0.0307466455991949,-0.0257098475469885,0.650720033520318,4.84332602394765,-0.052897053227888,0.0585199988134394,0,-15.0000000000003
0.0352753623192523,-0.0210372986345991,0.78613407752427,0.0335517239403284,-0.0249290883257559,0.671884497408409,4.70986069354355,-0.0447246376807477,0.0589627013654009,0,-15.0000000000011
0.0435197842655866,-0.0190466621658694,0.922097617793485,0.0355833035376619,-0.0242463998623856,0.686880123690622,4.57260628196725,-0.0364802157344134,0.0609533378341306,0,-15.0000000000007
0.0515023168062315,-0.0155910808493849,1.06059017031276,0.0370389037714142,-0.0237108046553501,0.697421888640213,4.43267013451164,-0.0684976831937684,0.104408919150615,0,-14.9999999999996
0.0589493152824805,-0.0107967273000886,1.2008556881678,0.0380800096884585,-0.02331419694557,0.704791813118383,4.2908595193977,-0.0610506847175195,0.109203272699911,0,-15.0000000000008
0.0656373094767049,-0.00481491164457865,1.34235832284081,0.0388273179122693,-0.0230293060279102,0.709924374655281,4.14775862249409,-0.0543626905232951,0.115185088355421,0,-15
0.0713845158715085,0.00218639964703861,1.48472135081532,0.0393671999819663,-0.0228274151889584,0.713489178270796,4.003789454166,-0.0486154841284915,0.122186399647039,0,-14.9999999999984
0.076045345186178,0.0100267410773901,1.62768140322976,0.0397602293443317,-0.0226846971888189,0.715960471735848,3.85925762967612,-0.043954654813822,0.13002674107739,0,-15
0.0795073605473638,0.0185158469422289,1.77105507326554,0.0400485917889555,-0.0225833254456206,0.717671469508672,3.71438566391871,-0.0804926394526363,0.178515846942229,0,-15
0.0816897633523439,0.0274561763603865,1.91471498244251,0.0402616995928627,-0.0225106551965723,0.718855013188014,3.5693366612022,-0.0783102366476561,0.187456176360387,0,-15
0.0825426350147756,0.0366457110149397,2.05857282947752,0.0404201864095335,-0.0224579617359258,0.719673193705509,3.4242309245474,-0.0774573649852244,0.19664571101494,0,-15
0.0820464083618555,0.0458810916954546,2.20256748101006,0.0405386618208525,-0.0224192961081505,0.720238556607066,3.27915748877306,-0.0779535916381445,0.205881091695455,0,-15
0.0802112454325625,0.0549610141302672,2.3466566504396,0.0406275822150798,-0.0223906060519973,0.720629106463854,3.13418208485868,-0.0797887545674375,0.214961014130267,0,-15
0.0770761371547046,0.0636897641784227,2.49081110565984,0.0406945152316271,-0.0223691123009874,0.720898840992269,2.98935263296298,-0.122923862845295,0.263689764178423,0,-15
